Current Official Name of Satellite,Country of Operator/Owner,Users,Purpose,Class of Orbit,Perigee (km),Apogee (km),Launch Mass (kg.),Date of Launch,Expected Lifetime (yrs.),Satellite Status,Risk Cluster
1HOPSAT-TD,USA,Commercial,Earth Observation,LEO,566.0,576.0,22.0,2019-12-11,0.5,Inactive (Archaeology),High Risk
Aalto-1,Finland,Civil,Technology Development,LEO,497.0,517.0,4.5,2017-06-23,2.0,Inactive (Archaeology),High Risk
ABS-2,Multinational,Commercial,Communications,GEO,35778.0,35793.0,6330.0,2014-02-06,15.0,Active,Medium Risk
ABS-2A,Multinational,Commercial,Communications,GEO,35700.0,35700.0,1800.0,2016-06-15,15.0,Active,High Risk
ABS-3A,Multinational,Commercial,Communications,GEO,35788.0,35803.0,2000.0,2015-03-02,15.0,Active,High Risk
ABS-4,Multinational,Commercial,Communications,GEO,35780.0,35793.0,4143.0,2004-03-13,12.0,Inactive (Archaeology),Medium Risk
ABS-6,Multinational,Commercial,Communications,GEO,35777.0,35794.0,2894.0,1999-09-26,15.0,Inactive (Archaeology),Medium Risk
USA 246,USA,Military,Communications,GEO,35700.0,35803.0,6169.0,2013-09-18,14.0,Active,Medium Risk
USA 235,USA,Military,Communications,GEO,35772.0,35801.0,6169.0,2012-05-03,14.0,Active,Medium Risk
Aeolus,ESA,Government,Earth Observation,LEO,314.0,317.0,1367.0,2018-08-22,3.0,Inactive (Archaeology),High Risk
Aerocube 6A,USA,Commercial,Technology Development,LEO,614.0,700.0,5.0,2014-06-19,3.0,Inactive (Archaeology),High Risk
Aerocube 6B,USA,Commercial,Technology Development,LEO,614.0,700.0,5.0,2014-06-19,3.0,Inactive (Archaeology),High Risk
Eutelsat 48D,Multinational,Commercial,Communications,GEO,35764.0,35808.0,3460.0,2008-12-20,15.0,Inactive (Archaeology),Medium Risk
AIM,USA,Government,Earth Observation,LEO,544.0,552.0,215.0,2007-04-25,2.0,Inactive (Archaeology),High Risk
AISSat-1,Norway,Government,Communications,LEO,615.0,632.0,6.0,2010-07-12,3.0,Inactive (Archaeology),High Risk
AISSat-2,Norway,Government,Communications,LEO,625.0,631.0,6.0,2014-07-08,3.0,Inactive (Archaeology),High Risk
Al Yah-3,United Arab Emirates,Commercial,Communications,GEO,35777.0,35796.0,3795.0,2018-01-25,15.0,Active,Medium Risk
Alcomsat,Algeria,Government,Communications,GEO,35744.0,35798.0,5225.0,2017-12-10,15.0,Active,Medium Risk
Alsat-1B,Algeria,Government,Earth Observation,LEO,661.0,704.0,103.0,2016-09-26,5.0,Inactive (Archaeology),High Risk
Alsat-2A,Algeria,Government,Earth Observation,LEO,672.0,674.0,130.0,2010-07-12,5.0,Inactive (Archaeology),High Risk
Alsat-2B,Algeria,Government,Earth Observation,LEO,646.0,660.0,117.0,2016-09-26,5.0,Inactive (Archaeology),High Risk
Amazonas-2,Spain,Commercial,Communications,GEO,35767.0,35805.0,5465.0,2009-10-01,15.0,Inactive (Archaeology),Medium Risk
Amazonas-3,Spain,Commercial,Communications,GEO,35781.0,35791.0,6265.0,2013-02-07,15.0,Active,Medium Risk
Amazonas-4A,Spain,Commercial,Communications,GEO,35784.0,35795.0,2938.0,2014-03-22,15.0,Active,Medium Risk
Amazonas-5,Spain,Commercial,Communications,GEO,35785.0,35789.0,5900.0,2017-09-12,15.0,Active,Medium Risk
Amazonia-1,Brazil,Government,Earth Observation,LEO,761.0,764.0,637.0,2021-02-28,4.0,Inactive (Archaeology),High Risk
AMC-11,USA,Commercial,Communications,GEO,35774.0,35797.0,2340.0,2004-05-19,15.0,Inactive (Archaeology),High Risk
AMC-15,USA,Commercial,Communications,GEO,35777.0,35795.0,4200.0,2004-10-14,15.0,Inactive (Archaeology),Medium Risk
AMC-18,USA,Commercial,Communications,GEO,35773.0,35800.0,2081.0,2006-12-08,15.0,Inactive (Archaeology),High Risk
AMC-21,USA,Commercial,Communications,GEO,35778.0,35793.0,2500.0,2008-08-14,15.0,Inactive (Archaeology),Medium Risk
AMC-6,USA,Commercial,Communications,GEO,35778.0,35795.0,3901.0,2000-10-22,15.0,Inactive (Archaeology),Medium Risk
Amos 17,Israel,Military/Commercial,Communications,GEO,35777.0,35793.0,6500.0,2019-08-06,20.0,Active,Medium Risk
Anik F1,Canada,Commercial,Communications,GEO,35778.0,35793.0,4710.0,2000-11-21,15.0,Inactive (Archaeology),Medium Risk
Anik F1R,Canada,Commercial,Communications,GEO,35777.0,35795.0,4500.0,2005-09-09,15.0,Inactive (Archaeology),Medium Risk
Anik F2,Canada,Commercial,Communications,GEO,35781.0,35790.0,5910.0,2004-07-18,15.0,Inactive (Archaeology),Medium Risk
Anik F3,Canada,Commercial,Communications,GEO,35778.0,35794.0,4715.0,2007-04-09,15.0,Inactive (Archaeology),Medium Risk
Anik G1,Canada,Commercial,Communications,GEO,35773.0,35799.0,4905.0,2013-04-15,15.0,Active,Medium Risk
Apstar 6D,China,Commercial,Communications,GEO,35785.0,35885.0,5550.0,2020-07-09,15.0,Active,Medium Risk
Apstar 6E,China,Commercial,Communications,GEO,35700.0,35700.0,4300.0,2023-01-12,15.0,Active,Medium Risk
Apstar 7,China,Commercial,Communications,GEO,35864.0,35874.0,5054.0,2012-03-31,15.0,Active,Medium Risk
Apstar 9,China,Commercial,Communications,GEO,35782.0,35788.0,5200.0,2015-10-16,15.0,Active,Medium Risk
Arabsat 5C,Multinational,Government,Communications,GEO,35766.0,35805.0,4630.0,2011-09-21,15.0,Active,Medium Risk
Arabsat 6A,Multinational,Commercial,Communications,GEO,35774.0,35811.0,6465.0,2019-04-11,15.0,Active,Medium Risk
Arktika-M1,Russia,Government,Earth Observation,Elliptical,1025.0,39754.0,2200.0,2021-02-28,7.0,Active,High Risk
ArSat 1,Argentina,Commercial,Communications,GEO,35778.0,35795.0,3000.0,2014-10-16,15.0,Active,Medium Risk
ArSat 2,Argentina,Commercial,Communications,GEO,35786.0,35801.0,2977.0,2015-09-30,15.0,Active,Medium Risk
AsiaSat-5,China,Commercial,Communications,GEO,35778.0,35795.0,3760.0,2009-08-11,15.0,Inactive (Archaeology),Medium Risk
AsiaSat-6,China,Commercial,Communications,GEO,35783.0,35793.0,3700.0,2014-09-07,15.0,Active,Medium Risk
AsiaSat-7,China,Commercial,Communications,GEO,35782.0,35793.0,3813.0,2011-11-25,15.0,Active,Medium Risk
AsiaSat-8,China,Commercial,Communications,GEO,35781.0,35793.0,4500.0,2014-08-05,15.0,Active,Medium Risk
AsiaSat-9,China,Commercial,Communications,GEO,35783.0,35790.0,6140.0,2017-09-28,15.0,Active,Medium Risk
AsiaStar,USA,Commercial,Communications,GEO,35773.0,35801.0,2775.0,2000-03-21,15.0,Inactive (Archaeology),Medium Risk
ASNARO-1,Japan,Government,Earth Observation,LEO,506.0,507.0,500.0,2014-11-06,3.0,Inactive (Archaeology),High Risk
ASNARO-2,Japan,Government,Earth Observation,LEO,493.0,505.0,570.0,2018-01-17,3.0,Inactive (Archaeology),High Risk
Astra 1G,Luxembourg,Commercial,Communications,GEO,35780.0,35791.0,3379.0,1997-12-02,15.0,Inactive (Archaeology),Medium Risk
Astra 1KR,Luxembourg,Commercial,Communications,GEO,35766.0,35807.0,4332.0,2006-04-20,15.0,Inactive (Archaeology),Medium Risk
Astra 1L,Luxembourg,Commercial,Communications,GEO,35772.0,35798.0,4500.0,2007-05-04,15.0,Inactive (Archaeology),Medium Risk
Astra 1M,Luxembourg,Commercial,Communications,GEO,35804.0,35852.0,5345.0,2008-11-05,15.0,Inactive (Archaeology),Medium Risk
Astra 1N,Luxembourg,Commercial,Communications,GEO,35715.0,35780.0,5350.0,2011-08-06,15.0,Active,Medium Risk
Astra 2A,Luxembourg,Commercial,Communications,GEO,35776.0,35797.0,3635.0,1998-08-30,15.0,Inactive (Archaeology),Medium Risk
Astra 2C,Luxembourg,Commercial,Communications,GEO,35768.0,35804.0,3643.0,2001-06-16,15.0,Inactive (Archaeology),Medium Risk
Astra 2D,Luxembourg,Commercial,Communications,GEO,35770.0,35802.0,1420.0,2000-12-19,15.0,Inactive (Archaeology),High Risk
Astra 2E,Luxembourg,Commercial,Communications,GEO,35781.0,35793.0,6052.0,2013-09-29,15.0,Active,Medium Risk
Astra 2F,Luxembourg,Commercial,Communications,GEO,35777.0,35795.0,6000.0,2012-09-28,15.0,Active,Medium Risk
Astra 2G,Luxembourg,Commercial,Communications,GEO,35785.0,35789.0,6000.0,2014-12-27,15.0,Active,Medium Risk
Astra 3A,Luxembourg,Commercial,Communications,GEO,35770.0,35804.0,1500.0,2002-03-29,10.0,Inactive (Archaeology),High Risk
Astra 3B,Luxembourg,Commercial,Communications,GEO,35768.0,35806.0,5471.0,2010-05-21,15.0,Inactive (Archaeology),Medium Risk
Astra 5B,Luxembourg,Commercial,Communications,GEO,35787.0,35793.0,5724.0,2014-03-22,15.0,Active,Medium Risk
Astrosat,India,Government,Space Science,LEO,632.0,649.0,230.0,2015-09-28,5.0,Inactive (Archaeology),High Risk
AT&T T16,USA,Commercial,Communications,GEO,35653.0,36757.0,6350.0,2019-06-20,15.0,Active,Medium Risk
Athena-Fidus,France/Italy,Government/Military,Communications,GEO,35784.0,35788.0,3080.0,2014-02-06,15.0,Active,Medium Risk
Azerspace 1/Africasat-1a,Azerbaijan,Government,Communications,GEO,35778.0,35794.0,3250.0,2013-02-07,15.0,Active,Medium Risk
Azerspace 2/Intelsat-38,Azerbaijan,Government,Communications,GEO,35750.0,35750.0,3500.0,2018-09-25,15.0,Active,Medium Risk
Badr 4,Multinational,Government,Communications,GEO,35780.0,35791.0,3304.0,2006-11-08,15.0,Inactive (Archaeology),Medium Risk
Badr 5,Multinational,Government,Communications,GEO,35834.0,35883.0,5420.0,2010-06-03,15.0,Inactive (Archaeology),Medium Risk
Badr 5A,Multinational,Government,Communications,GEO,35605.0,35623.0,4940.0,2010-06-26,15.0,Inactive (Archaeology),Medium Risk
Badr 6,Multinational,Government,Communications,GEO,35768.0,35805.0,3400.0,2008-07-07,15.0,Inactive (Archaeology),Medium Risk
Badr 7,Multinational,Government,Communications,GEO,35768.0,35817.0,5500.0,2015-11-10,15.0,Active,Medium Risk
Bangabandhu 1,Bangladesh,Government,Communications,GEO,35778.0,35793.0,3500.0,2018-05-11,15.0,Active,Medium Risk
Cosmos 2503,Russia,Military,Earth Observation,LEO,570.0,586.0,4000.0,2015-02-27,5.0,Inactive (Archaeology),Medium Risk
Cosmos 2515,Russia,Military,Earth Observation,LEO,549.0,594.0,4000.0,2016-03-24,5.0,Inactive (Archaeology),Medium Risk
Cosmos 2556,Russia,Military,Earth Observation,LEO,337.0,556.0,3700.0,2022-05-19,5.0,Active,Medium Risk
Cosmos 2567,Russia,Military,Earth Observation,LEO,501.0,514.0,3700.0,2023-03-23,5.0,Active,Medium Risk
Beidou 2-12,China,Military/Government,Navigation/Global Positioning,MEO,21460.0,21595.0,2200.0,2012-04-28,8.0,Inactive (Archaeology),High Risk
Beidou 2-13,China,Military/Government,Navigation/Global Positioning,MEO,21452.0,21603.0,2200.0,2012-04-28,8.0,Inactive (Archaeology),High Risk
Beidou 2-15,China,Military/Government,Navigation/Global Positioning,MEO,21477.0,21574.0,3800.0,2012-09-18,8.0,Inactive (Archaeology),Medium Risk
Beidou 2-16,China,Military/Government,Navigation/Global Positioning,GEO,35775.0,35799.0,3800.0,2012-10-25,8.0,Inactive (Archaeology),Medium Risk
Beidou 2-17,China,Military/Government,Navigation/Global Positioning,GEO,35676.0,35890.0,4200.0,2016-03-30,8.0,Inactive (Archaeology),Medium Risk
Beidou 2-18,China,Military/Government,Navigation/Global Positioning,GEO,35776.0,35794.0,3800.0,2016-06-12,8.0,Inactive (Archaeology),Medium Risk
Beidou 3I-1S,China,Military/Government,Navigation/Global Positioning,GEO,35796.0,36781.0,4200.0,2015-03-30,8.0,Inactive (Archaeology),Medium Risk
Beidou 3I-2S,China,Military/Government,Navigation/Global Positioning,GEO,35606.0,35953.0,4200.0,2015-09-29,8.0,Inactive (Archaeology),Medium Risk
Beidou 3M-1S,China,Military/Government,Navigation/Global Positioning,MEO,21520.0,21549.0,800.0,2015-07-25,8.0,Inactive (Archaeology),High Risk
Beidou 3M-2S,China,Military/Government,Navigation/Global Positioning,MEO,21521.0,21550.0,800.0,2015-07-25,8.0,Inactive (Archaeology),High Risk
Beidou 3-M1,China,Military/Government,Navigation/Global Positioning,MEO,21506.0,21549.0,800.0,2017-11-05,8.0,Inactive (Archaeology),High Risk
Beidou 3-23,China,Military/Government,Navigation/Global Positioning,MEO,21509.0,21561.0,800.0,2019-09-22,8.0,Active,High Risk
Beidou 3-24,China,Military/Government,Navigation/Global Positioning,MEO,21515.0,21554.0,800.0,2019-09-22,8.0,Active,High Risk
Beidou 3-25,China,Military/Government,Navigation/Global Positioning,MEO,21541.0,22549.0,800.0,2017-11-05,8.0,Inactive (Archaeology),High Risk
Beidou DW 26,China,Military/Government,Navigation/Global Positioning,MEO,21514.0,21541.0,800.0,2018-01-11,8.0,Active,High Risk
Beidou DW 27,China,Military/Government,Navigation/Global Positioning,MEO,21516.0,21539.0,800.0,2018-01-11,8.0,Active,High Risk
Beidou DW 28,China,Military/Government,Navigation/Global Positioning,MEO,21508.0,21547.0,800.0,2018-02-12,8.0,Active,High Risk
Beidou DW 29,China,Military/Government,Navigation/Global Positioning,MEO,21504.0,21551.0,800.0,2018-02-12,8.0,Active,High Risk
Beidou DW 30,China,Military/Government,Navigation/Global Positioning,MEO,21521.0,21533.0,800.0,2018-03-29,8.0,Active,High Risk
Beidou DW 31,China,Military/Government,Navigation/Global Positioning,MEO,21542.0,22191.0,800.0,2018-03-29,8.0,Active,High Risk
Beidou DW 32,China,Military/Government,Navigation/Global Positioning,GEO,35691.0,35876.0,800.0,2018-07-09,8.0,Active,High Risk
Beidou DW 33,China,Military/Government,Navigation/Global Positioning,MEO,21509.0,21545.0,800.0,2018-07-29,8.0,Active,High Risk
Beidou DW 34,China,Military/Government,Navigation/Global Positioning,MEO,21516.0,21538.0,800.0,2018-07-29,8.0,Active,High Risk
Beidou DW 35,China,Military/Government,Navigation/Global Positioning,MEO,21514.0,21540.0,800.0,2018-08-24,8.0,Active,High Risk
Beidou DW 36,China,Military/Government,Navigation/Global Positioning,MEO,21518.0,21537.0,800.0,2018-08-24,8.0,Active,High Risk
Beidou DW 37,China,Military/Government,Navigation/Global Positioning,MEO,21533.0,22193.0,800.0,2018-09-19,8.0,Active,High Risk
Beidou DW 38,China,Military/Government,Navigation/Global Positioning,MEO,21513.0,21541.0,800.0,2018-09-19,8.0,Active,High Risk
Beidou DW 39,China,Military/Government,Navigation/Global Positioning,MEO,21541.0,22195.0,800.0,2018-10-15,8.0,Active,High Risk
Beidou DW 40,China,Military/Government,Navigation/Global Positioning,MEO,21537.0,22195.0,800.0,2018-10-15,8.0,Active,High Risk
Beidou DW 41,China,Military/Government,Navigation/Global Positioning,GEO,35776.0,35795.0,800.0,2018-11-01,8.0,Active,High Risk
Beidou DW 42,China,Military/Government,Navigation/Global Positioning,MEO,21523.0,22194.0,800.0,2018-11-18,8.0,Active,High Risk
Beidou DW 43,China,Military/Government,Navigation/Global Positioning,MEO,21531.0,22194.0,800.0,2018-11-18,8.0,Active,High Risk
Beidou DW 44,China,Military/Government,Navigation/Global Positioning,GEO,35711.0,35847.0,800.0,2019-04-20,8.0,Active,High Risk
Beidou DW 45,China,Military/Government,Navigation/Global Positioning,GEO,35773.0,35799.0,800.0,2019-05-17,8.0,Active,High Risk
Beidou DW 46,China,Military/Government,Navigation/Global Positioning,GEO,35739.0,35838.0,800.0,2019-06-24,8.0,Active,High Risk
Beidou 3 IGSO-3,China,Military/Government,Navigation/Global Positioning,GEO,35681.0,35896.0,4200.0,2019-11-05,8.0,Active,Medium Risk
Beidou DW 50,China,Military/Government,Navigation/Global Positioning,MEO,21542.0,22194.0,800.0,2019-11-23,8.0,Active,High Risk
Beidou DW 51,China,Military/Government,Navigation/Global Positioning,MEO,21537.0,22192.0,800.0,2019-11-23,8.0,Active,High Risk
Beidou DW 52,China,Military/Government,Navigation/Global Positioning,MEO,21369.0,21561.0,800.0,2019-12-16,8.0,Active,High Risk
Beidou DW 53,China,Military/Government,Navigation/Global Positioning,MEO,21530.0,22108.0,800.0,2019-12-16,8.0,Active,High Risk
Beidou DW 55,China,Military/Government,Navigation/Global Positioning,GEO,35764.0,35809.0,800.0,2020-06-23,8.0,Active,High Risk
Beidou G3,China,Military/Government,Navigation/Global Positioning,GEO,35776.0,35797.0,2200.0,2020-03-09,8.0,Active,High Risk
Beidou G4,China,Military/Government,Navigation/Global Positioning,GEO,35764.0,35809.0,6000.0,2010-10-31,8.0,Inactive (Archaeology),Medium Risk
Beidou G5,China,Military/Government,Navigation/Global Positioning,GEO,35776.0,35799.0,2300.0,2012-02-24,8.0,Inactive (Archaeology),High Risk
Beidou IGSO-1,China,Military/Government,Navigation/Global Positioning,GEO,35670.0,35893.0,4200.0,2010-07-31,8.0,Inactive (Archaeology),Medium Risk
Beidou IGSO-2,China,Military/Government,Navigation/Global Positioning,GEO,35717.0,35817.0,4200.0,2010-12-17,8.0,Inactive (Archaeology),Medium Risk
Beidou IGSO-4,China,Military/Government,Navigation/Global Positioning,GEO,35708.0,35879.0,4200.0,2011-07-26,8.0,Inactive (Archaeology),Medium Risk
Beidou IGSO-5,China,Military/Government,Navigation/Global Positioning,GEO,35708.0,35864.0,4200.0,2011-12-01,8.0,Inactive (Archaeology),Medium Risk
BeijinGalaxy-1,China,Commercial,Earth Observation,LEO,681.0,703.0,166.0,2005-10-27,7.0,Inactive (Archaeology),High Risk
Belintersat-1,Belarus,Government,Communications,GEO,35779.0,35792.0,5223.0,2016-01-15,15.0,Active,Medium Risk
Bispectral InfraRed Detector 2 (Bird 2),Germany,Government/Civil,Earth Observation/Technology Development,LEO,500.0,521.0,92.0,2001-10-22,1.5,Inactive (Archaeology),High Risk
BKA 2,Belarus,Government,Earth Observation,LEO,503.0,507.0,400.0,2012-07-22,5.0,Inactive (Archaeology),High Risk
BlackSky Pathfinder 1,USA,Commercial,Earth Observation,LEO,661.0,701.0,44.0,2016-09-26,3.0,Inactive (Archaeology),High Risk
Cosmos 2520,Russia,Military/Commercial,Communications,GEO,35781.0,35803.0,3000.0,2017-08-16,15.0,Active,Medium Risk
Cosmos 2526,Russia,Military/Commercial,Communications,GEO,35779.0,35794.0,3000.0,2018-04-18,15.0,Active,Medium Risk
Cosmos 2533,Russia,Military/Commercial,Communications,GEO,35780.0,35792.0,3000.0,2018-12-20,15.0,Active,Medium Risk
Cosmos 2539,Russia,Military/Commercial,Communications,GEO,35599.0,35829.0,3000.0,2019-08-05,15.0,Active,Medium Risk
Brazilsat B-4,Brazil,Commercial,Communications,GEO,35772.0,35800.0,2495.0,2000-08-17,12.0,Inactive (Archaeology),Medium Risk
BRISat,Indonesia,Commercial,Communications,GEO,35702.0,35876.0,3540.0,2016-06-19,15.0,Active,Medium Risk
BRITE-PL-2,Multinational,Government,Space Science,LEO,610.0,633.0,10.0,2014-08-19,2.0,Inactive (Archaeology),High Risk
BSAT-3A,Japan,Commercial,Communications,GEO,35778.0,35794.0,1980.0,2007-08-14,13.0,Inactive (Archaeology),High Risk
BSAT-3B,Japan,Commercial,Communications,GEO,33066.0,35725.0,2060.0,2010-10-28,15.0,Inactive (Archaeology),High Risk
BSAT-3C/JCSat 110-R,Japan,Commercial,Communications,GEO,35784.0,35787.0,2910.0,2011-08-06,15.0,Active,Medium Risk
BSAT-4A,Japan,Commercial,Communications,GEO,35719.0,35725.0,3520.0,2017-09-29,15.0,Active,Medium Risk
BSAT-4B,Japan,Commercial,Communications,GEO,35789.0,35798.0,3520.0,2020-08-15,15.0,Active,Medium Risk
Buccaneer RMM,Australia,Military/Civil,Technology Development,LEO,459.0,819.0,4.0,2017-11-18,5.0,Inactive (Archaeology),High Risk
BulgariaSat-1,Bulgaria,Commercial,Communications,GEO,35774.0,35797.0,3669.0,2017-06-23,15.0,Active,Medium Risk
Calipso,France,Government,Earth Science,LEO,702.0,703.0,587.0,2006-04-28,3.0,Inactive (Archaeology),High Risk
CartoSat 1,India,Government,Earth Observation,LEO,618.0,619.0,1560.0,2005-05-05,6.0,Inactive (Archaeology),High Risk
CartoSat 2,India,Government,Earth Observation,LEO,632.0,635.0,680.0,2007-01-10,5.0,Inactive (Archaeology),High Risk
CartoSat 2A,India,Military,Earth Observation,LEO,624.0,643.0,680.0,2008-04-28,5.0,Inactive (Archaeology),High Risk
CartoSat 2B,India,Government,Earth Observation,LEO,622.0,645.0,694.0,2010-07-12,5.0,Inactive (Archaeology),High Risk
CartoSat 2C,India,Government,Earth Observation,LEO,501.0,519.0,727.0,2016-06-22,5.0,Inactive (Archaeology),High Risk
CartoSat 2D,India,Government,Earth Observation,LEO,491.0,508.0,714.0,2017-02-15,5.0,Inactive (Archaeology),High Risk
CartoSat 2E,India,Government,Earth Observation,LEO,334.0,347.0,712.0,2017-06-22,5.0,Inactive (Archaeology),High Risk
CartoSat 2F,India,Government,Earth Observation,LEO,495.0,510.0,712.0,2018-01-11,5.0,Inactive (Archaeology),High Risk
CartoSat 3,India,Government,Earth Observation,LEO,500.0,519.0,1625.0,2019-11-27,5.0,Inactive (Archaeology),High Risk
Cassiope,Canada,Government,Earth Science,LEO,325.0,1486.0,490.0,2013-09-29,2.0,Inactive (Archaeology),High Risk
CBERS 4,China/Brazil,Government,Earth Observation,LEO,738.0,748.0,1980.0,2014-12-07,3.0,Inactive (Archaeology),High Risk
CBERS 4A,China/Brazil,Government,Earth Observation ,LEO,615.0,635.0,1980.0,2019-12-21,5.0,Inactive (Archaeology),High Risk
CE-SAT-2B,Japan,Commercial,Technology Demonstration,LEO,507.0,523.0,36.0,2020-10-28,2.0,Inactive (Archaeology),High Risk
CFOSat,China/France,Government,Earth Observation,LEO,509.0,523.0,700.0,2018-10-28,3.0,Inactive (Archaeology),High Risk
Chandra X-Ray Observatory (CXO),USA,Government,Space Science,Elliptical,9999.0,138825.0,4742.0,1999-07-23,5.0,Inactive (Archaeology),Medium Risk
CHASE,China,Government,Space Science,LEO,500.0,519.0,500.0,2021-10-14,3.0,Inactive (Archaeology),High Risk
